,Unnamed: 0,Unnamed: 0.1,Entity,Code,Year,Historical Index of Human Development (including GDP metric) ((0-1; higher values are better)),Historical Index of Human Development (without GDP metric) ((0-1; highest is best)),Total population (Gapminder)
0,0,68,Afghanistan,AFG,2015,0.25,0.19,
1,1,172,Albania,ALB,2015,0.59,0.56,
2,2,249,Algeria,DZA,2015,0.45,0.4,
3,3,464,Angola,AGO,2015,0.27,0.21,
4,4,725,Argentina,ARG,2015,0.7,0.67,
5,5,792,Armenia,ARM,2015,0.58,0.49,
6,6,1055,Australia,AUS,2015,0.89,0.89,
7,7,1252,Austria,AUT,2015,0.79,0.75,
8,8,1319,Azerbaijan,AZE,2015,0.52,0.43,
9,9,1396,Bahamas,BHS,2015,0.58,0.49,
10,10,1465,Bahrain,BHR,2015,0.57,0.54,
11,11,1538,Bangladesh,BGD,2015,0.33,0.28,
12,12,1614,Barbados,BRB,2015,0.66,0.62,
13,13,1681,Belarus,BLR,2015,0.67,0.61,
14,14,1878,Belgium,BEL,2015,0.84,0.82,
15,15,1954,Belize,BLZ,2015,0.43,0.35,
16,16,2030,Benin,BEN,2015,0.26,0.19,
17,17,2297,Bolivia,BOL,2015,0.47,0.42,
18,18,2443,Botswana,BWA,2015,0.4,0.31,
19,19,2592,Brazil,BRA,2015,0.54,0.48,
20,20,2737,Brunei,BRN,2015,0.58,0.54,
21,21,2842,Bulgaria,BGR,2015,0.59,0.52,
22,22,2918,Burkina Faso,BFA,2015,0.22,0.16,
23,23,2994,Burundi,BDI,2015,0.25,0.24,
24,24,3070,Cambodia,KHM,2015,0.37,0.3,
25,25,3149,Cameroon,CMR,2015,0.28,0.23,
26,26,3301,Canada,CAN,2015,0.88,0.87,
27,27,3368,Cape Verde,CPV,2015,0.46,0.4,
28,28,3515,Central African Republic,CAF,2015,0.16,0.13,
29,29,3591,Chad,TCD,2015,0.19,0.14,
30,30,3787,Chile,CHL,2015,0.74,0.7,
31,31,3984,China,CHN,2015,0.54,0.47,
32,32,4132,Colombia,COL,2015,0.55,0.49,
33,33,4199,Comoros,COM,2015,0.28,0.27,
